País,MONEDA,CÓDIGO
Afganistán,Afgani,AFN
Albania,Lek,ALL
Alemania,Euro,EUR
Andorra,Euro,EUR
Angola,Kwanza,AOA
Anguila,Dólar del Caribe Oriental,XCD
Antigua y Barbuda,Dólar del Caribe Oriental,XCD
Arabia Saudita,Riyal Saudí,SAR
Argelia,Dinar Argeliano,DZD
Argentina,Peso Argentino,ARS
Armenia,Dram Armenio,AMD
Aruba,Florín de Aruba,AWG
Australia,Dólar Australiano,AUD
Austria,Euro,EUR
Azerbaiyán,Manat azerí,AZN
Bahamas,Dólar de Bahamas,BSD
Bahrein,Dinar Bareiní,BHD
Bangladesh,Taka,BDT
Barbados,Dólar de Barbados,BBD
Bélgica,Euro,EUR
Belice,Dólar de Belize,BZD
Benín,Franco CFA de África Occidental,XOF
Bermudas,Dólar Bermudeño,BMD
Bielorrusia,Rublo Bielorruso,BYR
Bolivia,Boliviano,BOB
Bonaire San Eustaquio y Saba,Dólar Americano,USD
Bosnia y Herzegovina,Marco Bosnioherzegovino,BAM
Botswana,Pula,BWP
Brasil,Real,BRL
Brunéi Darussalam,Dólar de Brunéi,BND
Bulgaria,Lev,BGN
Burkina Faso,Franco CFA de África Occidental,XOF
Burundi,Franco Burundés,BIF
Bután,Ngultrum Butanés,BTN
Cabo Verde,Escudo Caboverdiano,CVE
Camboya,Riel,KHR
Camerún,Franco CFA de África Central,XAF
Canadá,Dólar Canadiense,CAD
Chad,Franco CFA de África Central,XAF
Chile,Unidad de Fomento,CLF
Chile,Peso Chileno,CLP
China,Yuan,CNY
Chipre,Euro,EUR
Ciudad del Vaticano,Euro,EUR
Colombia,Peso Colombiano,COP
Congo,Franco CFA de África Central,XAF
Corea del Norte,Won Norcoreano,KPW
Corea del Sur,Won Surcoreano,KRW
Costa de Marfil,Franco CFA de África Occidental,XOF
Costa Rica,Colón Costarricense,CRC
Croacia,Kuna,HRK
Cuba,Peso Cubano,CUP
Curazao,Florín de las Antillas Neerlandesas,ANG
Dinamarca,Corona Danesa,DKK
Dominica,Dólar del Caribe Oriental,XCD
Ecuador,Dólar Americano,USD
Egipto,Libra Egipcia,EGP
El Salvador,Dólar Americano,USD
Emiratos Árabes Unidos,Dírham,AED
Eritrea,Nakfa,ERN
Eslovaquia,Euro,EUR
Eslovenia,Euro,EUR
España,Euro,EUR
Estados Unidos,Dólar Americano,USD
Estonia,Euro,EUR
Etiopía,Birr Etíope,ETB
Federación Rusa,Rublo Ruso,RUB
Fiji,Dólar Fiyiano,FJD
Filipinas,Peso Filipino,PHP
Finlandia,Euro,EUR
Fondo Monetario Internacional,Derechos Especiales de Giro,XDR
Francia,Euro,EUR
Gabón,Franco CFA de África Central,XAF
Gambia,Dalasi,GMD
Georgia,Lari,GEL
Ghana,Cedi,GHS
Gibraltar,Libra Gibraltareña,GIP
Granada,Dólar del Caribe Oriental,XCD
Grecia,Euro,EUR
Groenlandia,Corona Danesa,DKK
Guadalupe,Euro,EUR
Guam,Dólar Americano,USD
Guatemala,Quetzal,GTQ
Guayana Francesa,Euro,EUR
Guernsey,Libra Esterlina,GBP
Guinea,Franco Guineano,GNF
Guinea Ecuatorial,Franco CFA de África Central,XAF
Guinea-Bissau,Franco CFA de África Occidental,XOF
Guyana,Dólar Guyanés,GYD
Haití,Gourde,HTG
Holanda,Euro,EUR
Honduras,Lempira,HNL
Hong Kong,Dólar de Hong Kong,HKD
Hungría,Forint,HUF
India,Rupia India,INR
Indonesia,Rupia Indonesia,IDR
Irán,Rial Iraní,IRR
Iraq,Dinar,IQD
Irlanda,Euro,EUR
Isla Bouvet,Corona Noruega,NOK
Isla de Man,Libra Esterlina,GBP
Isla de Navidad,Dólar Australiano,AUD
Isla de San Martín (parte francesa),Euro,EUR
Isla de San Martín (parte holandesa),Florín de las Antillas Neerlandesas,ANG
Isla Georgia del Sur e Islas Sandwich del Sur,Libra Esterlina,GBP
Isla Norfolk,Dólar Australiano,AUD
Islandia,Corona Islandesa,ISK
Islas Åland,Euro,EUR
Islas Caimán,Dólar de Islas Caimán,KYD
Islas Cocos,Dólar Australiano,AUD
Islas Comores,Franco Comorano,KMF
Islas Cook,Dólar Neozelandés,NZD
Islas Falkland (Malvinas),Libra Malvinense,FKP
Islas Faroe,Corona Feroesa,FKR
Islas Heard y McDonald,Dólar Australiano,AUD
Islas Marianas del Norte,Dólar Americano,USD
Islas Marshall,Dólar Americano,USD
Islas Menores de Estados Unidos de Ultramar,Dólar Americano,USD
Islas Pitcairn,Dólar Neozelandés,NZD
Islas Salomón,Dólar de las Islas Salomón,SBD
Islas Svalbard y Jan Mayen,Corona Noruega,NOK
Islas Turcas y Caicos,Dólar Americano,USD
Islas Vírgenes Americanas,Dólar Americano,USD
Islas Vírgenes Británicas,Dólar Americano,USD
Israel,Nuevo Shéquel,ILS
Italia,Euro,EUR
Jamaica,Dólar Jamaicano,JMD
Japón,Yen,JPY
Jersey,Libra de Jersey,JEP
Jordania,Dinar Jordano,JOD
Kazajistán,Tenge,KZT
Kenia,Chelín Keniano,KES
Kirguistán,Som,KGS
Kiribati,Dólar Australiano,AUD
Kuwait,Dinar Kuwaití,KWD
Laos,Kip,LAK
Lesoto,Loti,LSL
Letonia,Euro,EUR
Líbano,Libra Libanesa,LBP
Liberia,Dólar Liberiano,LRD
Libia,Dinar Libio,LYD
Liechtenstein,Franco Suizo,CHF
Lituania,Litas,LTL
Luxemburgo,Euro,EUR
Macao,Pataca,MOP
Macedonia,Denar,MKD
Madagascar,Ariary,MGA
Malasia,Ringgit,MYR
Malawi,Kwacha,MWK
Maldivas,Rufiyaa,MVR
Malí,Franco CFA de África Occidental,XOF
Malta,Euro,EUR
Marruecos,Dirham Marroquí,MAD
Martinica,Euro,EUR
Mauricio,Rupia Mauriciana,MUR
Mauritania,Uquiya,MRO
Mayotte,Euro,EUR
México,Peso Mexicano,MXN
Micronesia,Dólar Americano,USD
Moldavia,Leu Moldavo,MDL
Mónaco,Euro,EUR
Mongolia,Tugrik,MNT
Montenegro,Euro,EUR
Montserrat,Dólar del Caribe Oriental,XCD
Mozambique,Metical,MZN
Myanmar,Kyat,MMK
Namibia,Dólar Namibio,NAD
Nauru,Dólar Australiano,AUD
Nepal,Rupia Nepalesa,NPR
Nicaragua,Córdoba,NIO
Níger,Franco CFA de África Occidental,XOF
Nigeria,Naira,NGN
Niue,Dólar Neozelandés,NZD
Noruega,Corona Noruega,NOK
Nueva Caledonia,Franco CFP,XPF
Nueva Zelandia,Dólar Neozelandés,NZD
Omán,Rial Omaní,OMR
Países miembros del Banco Africano de Desarrollo,Unidad de Cuentas del Banco Africano de Desarrollo,XUA
Pakistán,Rupia Pakistaní,PKR
Palaos,Dólar Americano,USD
Palestina,Nuevo Shéquel Israelí,ILS
Palestina,Dinar Jordano,JOD
Panamá,Balboa,PAB
Papúa Nueva Guinea,Kina,PGK
Paraguay,Guaraní,PYG
Perú,Nuevo Sol,PEN
Polinesia Francesa,Franco CFP,XPF
Polonia,Zloty,PLN
Portugal,Euro,EUR
Puerto Rico,Dólar Americano,USD
Qatar,Riyal Catarí,QAR
Reino Unido,Libra Esterlina,GBP
República Centroafricana,Franco CFA de África Central,XAF
República Checa,Corona Checa,CZK
República Democrática del Congo,Franco Congoleño,CDF
República Dominicana,Peso Dominicano,DOP
Reunión,Euro,EUR
Ruanda,Franco Ruandés,RWF
Rumania,Leu,RON
Sahara Occidental,Dirham Marroquí,MAD
Samoa,Tala,WST
Samoa Americana,Dólar Americano,USD
San Bartolomé,Euro,EUR
San Cristóbal y Nieves,Dólar del Caribe Oriental,XCD
San Marino,Euro,EUR
San Pedro y Miguelón,Euro,EUR
San Vicente y Las Granadinas,Dólar del Caribe Oriental,XCD
Santa Elena Ascensión y Tristán de Acuña,Libra de Santa Elena,SHP
Santa Lucía,Dólar del Caribe Oriental,XCD
Santo Tomé y Príncipe,Dobra,STD
Senegal,Franco CFA de África Occidental,XOF
Serbia,Dinar Serbio,RSD
Seychelles,Rupia de Seychelles,SCR
Sierra Leona,Leone,SLL
Singapur,Dólar de Singapur,SGD
Siria,Libra Siria,SYP
Somalia,Chelín Somalí,SOS
Sri Lanka,Rupia de Sri Lanka,LKR
Suazilandia,Lilangeni,SZL
Sudáfrica,Rand,ZAR
Sudán,Libra Sudanesa,SDG
Suecia,Corona Sueca,SEK
Suiza,Franco Suizo,CHF
Surinam,Dólar Surinamés,SRD
Tailandia,Baht,THB
Taiwán,Nuevo Dólar Taiwanés,TWD
Tanzania,Chelín Tanzano,TZS
Tayikistán,Somoni,TJS
Territorio Británico del Océano Índico,Libra Esterlina,GBP
Territorios Australes Franceses,Euro,EUR
Timor Oriental,Dólar Americano,USD
Togo,Franco CFA de África Occidental,XOF
Tokelau,Dólar Neozelandés,NZD
Tonga,Pa’anga,TOP
Trinidad y Tobago,Dólar Trinitense,TTD
Túnez,Dinar Tunesino,TND
Turkmenistán,Nuevo Manat Turkmeno,TMT
Turquía,Lira Turca,TRY
Tuvalu,Dólar Australiano,AUD
Ucrania,Grivna,UAH
Uganda,Chelín Ugandés,UGX
Unión Europea,Euro,EUR
Uruguay,Peso Uruguayo,UYU
Uzbekistán,Som Uzbeko,UZS
Vanuatu,Vatu,VUV
Venezuela,Bolivar,VEF
Vietnam,Dong,VND
Wallis y Futuna,Franco CFP,XPF
Yemen,Rial Yemení,YER
Yibouti,Franco Yibutiano,DJF
Zambia,Kwacha Zambiano,ZMW
Zimbabue,Dólar Zimbabuense,ZWL
